user_name,conmment
用心兑你,这么好听，一点都不烂，比野路耐听多了。
在海防听音乐的散尾葵,商单而已别在意[流泪]
奥特曼不怕死,许嵩为数不多的烂歌
十里慕清欢,嵩哥冲冲冲，揽仙歌好听🥰
傻傻傻傻柔,勇敢勇敢我的朋友
ABSTURN,啊啊啊啊新歌榜质量一般啊[流泪]
Yiy_lf,笔记黑胶自取
玉京子xc,黑胶自取[爱心]
白桃-认证歌手,[流泪][流泪][流泪][流泪][流泪][流泪][流泪][流泪][流泪][流泪][流泪][流泪][流泪][流泪][流泪][流泪][流泪][流泪][流泪][流泪][流泪][流泪][流泪][流泪][流泪][流泪][流泪][流泪][流泪][流泪][流泪][流泪][流泪][流泪][流泪]
心随风起向云端,快来听《放手才是最不舍的爱》我听完彩票中奖了，听了的朋友都好运连连[爱心][爱心][爱心]
白开水pp,黑胶会员我的个人笔记里自取哈我的新专辑和同名歌曲《爱曾伤过你也教会你》发布啦，跪求大家支持，绝对好听！祝大家家人健康，爱情美满，暴富爆好运~~~~
浊淳,蹲一个一起听歌的小姐姐  可以送你黑胶[呲牙]
In-Hoc-Signo-Vinces-,排行榜都是些什么歌？我的老天爷呀，太难听了
吧嘟嘟山上的小可爱,排行榜都是些什么歌？我的老天爷呀，太难听了
本瑄不想写作业,我爱你
空刻牌-Kpai,刚刚更新！
莫岑离,好听爱听
莫岑离,好听爱听
燃帝殿下,快乐无价
身如山立,我私你！
跳动的点,不理解，石混其中
云烟成雨syxdd,听歌的人你现在过的还好吗   其实我们都在为生活而努力  愿各位安好 
W1LDFL0W3R,拉拉打雷[爱心]
小洁0327,古风
A一座围城,也听听我的吧，惊艳不敢说，但能惊死人。
紫悦-水袖流音,我的新歌《佛怒火莲》斗破苍穹三年之约同人曲，欢迎收听
薄情是首歌,这些歌都是什么牛鬼蛇神
白开水pp,我的新歌《爱曾伤过你也教会你》发布啦，跪求大家支持，绝对好听！祝大家家人健康，爱情美满，暴富爆好运~~~~需要黑胶会员的主页笔记自取~~
Jealous_luck,一遍烧去
白开水pp,我的新歌《爱曾伤过你也教会你》发布啦，跪求大家支持，绝对好听！祝大家家人健康，爱情美满，暴富爆好运~~~~
你该吃夜宵了,一堆构式
绵ovo绵,想看加
耶椰_V5MH,哎呦我去力宏可以呀
小狐狸de爱,5555555555555突然烦烦烦烦烦烦
缱绻去时书,肯定是啦，网易云也要赚钱，好多垃圾口水歌都上榜了
白开水pp,我的新歌《我哪里不如他》《爱曾伤过你也教会你》发布啦，请今年会发大财的大家支持~~
ATSCc,被第一首歌骗进来的，这个歌单怎么那么难听。。。。。。。。。。。。。。。。。。。。。。。。。
拉面811,雨勋老师和张艺兴的 听不到的歌 非常的妙[可爱] 大家快来听听 我无限循环了
Bangalore0,我好像也是VIP哎
斩星裂穹,打卡
白开水pp,我的新歌《我哪里不如他》，请今年会发大财的大家支持~~
YZBIAO,哈喽
开机_KnjD,学校好好听听库了
浪浪子小徐,法老牛逼
纯叶t,法老法老[憨笑]
是的江川,你还是改不了翻评论的习惯啊，彦祖
ICHONGAI,姜姜姜
秦简不勤Zzz,我们颜人中也是第一了
傲娇淇_,何浩楠
王少卫很酷,西安小姐姐滴滴
王少卫很酷,[色][色]
不再见__,高旭 雨蝶花
Crush_Jolin,我也这样想
好听的声音会很好听,动态贴贴自取领会员哦[呲牙]
lucky-boy传奇,这些飙升榜，有些歌是不是花钱推出来的！！！？
小哲不爱等待,太好了是豆豆
共睛-,时间经不起细算 过往也经不起细看
Stephen-15,自取
不爱剥坚果,10级以及svip7我要什么时候才能拥有[流泪]
Yiy_lf,黑胶笔记自取
Stephen-15,动态有礼品卡大家去领取就好啦
戒网云拖拉机,可以听听我的困局巨好听
东京忧郁大王666,不好[皱眉]
明明就_bb,我郑润泽又又又又上来啦
明天我一定吃早饭1,回复小八想念吉伊记忆中的你很好 现在的你也比不上
Z-L-S-1109,不想问天气了 好想问问你好不好
晚舟-w,1http:/$UZniEf142f987f$【復淛整段文案并咑閞「网易云音乐」，领免费会员】 黑胶邀请官 晚**w 送你网易云音乐会员卡，领取享20+会员权益。http://163cn.tv/Dsx0md7
破碎璃,来喽。
rapper不会嘴软-,《大千世界》如果你听懂了，一定会为它鼓掌，一定会为它爸爸鼓掌
小八想念吉伊,忘不掉那是我记忆里最好的你.
小八想念吉伊,你不用很好我会接受你的所有不完美.
summerWinter5,有人听《怕死不当重庆人》么？真给我大重庆张脸，太硬核rock了。好久没听到这么有深度的rock了！以为是一首美食歌，没想到是一首“红“歌！
Yiy_lf,黑胶笔记自取
十里慕清欢,野路冲冲冲
小陈没烦恼2203,春雪[星星]
Yellow_ty,支持
Yellow_ty,黄子韬爱错
素颜醉倾城2102,太六 了
Vabcde,嵩哥不出新歌则已，一出新歌依然是霸榜的实力，一起来听新歌《野路》，AI给我的分享文案是「耳机里是荒诞的词句，脚下是未命名的远方」，让我们走出属于自己的《野路》吧
Yiy_lf,黑胶会员笔记自取
Vae20240907,🌌陪你陪你走完这夜路～🎧
鹰少_11,我喜欢爆炒
流着眼泪哭着笑,需要腰子吗？
陶子姐8989,黄子韬爱错
鹰少_11,野路说的应该是简朴在吧  唯有灰发家致富  评论区有没有想做事的兄弟
BlackRain__,愚人节快乐
H辰诺,可以听听我的《裂缝里的光》，超好听，表达着生活的不易，也希望大家都能找到心里那缕光[爱心][爱心][爱心]
薛薛薛吖mua,v爱野路 春暖花开了哦
sssaddd-,黄子韬爱错
抱紧我家许甜甜,野路
唯爱-怡宝,野路
正宗嵩鼠,许嵩 野路
白开水pp,我的新歌《爱曾伤害你也教会你》上线了，非常痛彻的领悟，希望大家支持，爱你们~~~~
小王小wan,许嵩野路
听歌带耳机zzzzz,分流了
听歌带耳机zzzzz,野路野路
喜欢Vae的男孩,陪你陪你走完这野路[亲亲]
可笑321吧,野路飙升这么少吗？回不到以前了吗
因emo愛,希望像一盏灯，即使在最黑暗的时刻，也能照亮前方的路。
因emo愛,希望像一盏灯，即使在最黑暗的时刻，也能照亮前方的路。
Vieku,野路是呼吸之野的结尾，后期应该会是演唱会的歌曲
岗IU,动态
sebastiane玊尔,谢谢你
思念刺痛我,如果注定要分开 那相遇的意义是什么
宇宙之大HH,已领，谢谢老板
喜欢Vae的男孩,野路[亲亲][亲亲][亲亲]
能在你身边_,谢谢
戒网云拖拉机,已经来了
戒网云拖拉机,牛逼，哥，可以听听我的困局巨好听
戒网云拖拉机,听听我的困局巨好听
晚舟-w,晚舟-w送您一张会员礼品卡，快来看看TA的祝福吧! http://163cn.tv/Dl5rOjP (@网易云音乐)
十年言先生,下张专辑的名字叫野路吧
正宗嵩鼠,今天我来听野路
天命人老辰,首页搜索如歌的旅程给这首《Shanghai Neon Waltz》助力投票吧[爱心][爱心][爱心]还有机会抽取会员、万元旅游金哦！！
可笑321吧,《野路》
zhoy超,好听
沐o槿i,打几次
Yiy_lf,笔记黑胶自取
Xmengyang,好听吧 我也觉得 
rapper不会嘴软-,[色][色]
MusicByAuntL,什么，我进飙升榜了[流泪][流泪][流泪][流泪]
TheOvering,会越来越好的#在音乐里过春天# 
梦里残月--,人这一辈子，就是一个过程，没有永恒的生命，也没有不老的青春，我们终究只是时间的过客，即是过客，又何必执着，珍惜所有不期而遇，看淡所有不辞而别，尽人事，听天命，人生除去生死，其他的都是擦伤，做人做事，我没有践踏过任何人的真诚和善意，也不亏欠任何人，所以我活的坦荡且真诚，如果世间凉薄
丑八怪啊咦啊啊,111
丑八怪啊咦啊啊,好听
rapper不会嘴软-,[吐舌][吐舌][吐舌]
怡http,只要你的语气一变我就开始反思自己.那些让你假装听不懂的话 我不会再说了.不摊开伤疤是因为不想你觉得我是疯子.我疑信天下唯独信你 但你也骗我.我可以放弃一切东西，可唯独不能放弃你.
怡http,只要你的语气一变我就开始反思自己.那些让你假装听不懂的话 我不会再说了.不摊开伤疤是因为不想你觉得我是疯子.我疑信天下唯独信你 但你也骗我.我可以放弃一切东西，可唯独不能放弃你.
怡http,因为被骗过所以疑神疑鬼.还记得我吗当初把我藏得像个秘密.硬币没有第三面 也没有我想要的答案.爱人先爱己 少说对不起.永远太久了，明天对我说早安吧.所以短暂的陪伴到底是赏赐还是惩罚.想要你的爱.凌晨的眼泪为你流你会心疼我吗.
怡http,每次的勇敢爱换来的却是背叛.从你语气变的那天起我就料定和你走不远.或许我唯一的败笔就是心软.好奇怪被辜负的人永远在检讨.真心喂狗的日子我都痛恨我说的每一句话.会在乎我吗那些难眠的夜零落的泪.你对我的好与坏我都刻骨铭心.嫑忈嘦您 这是八个字.
怡http,人总是很奇怪短暂而热烈的瞬间我都想说你很好.你说永远不会让我哭的 现在笑我以前的天真.你口口声声说爱我抛弃我就是爱吗.你以前对我发誓的誓言我就当做买个教训了.爱是互相付出的可每次只有我单方面的付出.我会爱一个会心疼会坚定选择我的人.我要稳稳的幸福能抵挡失落的痛楚.
成厚铭,听完这首《千年聊斋》，我更难受了[流泪][流泪][流泪]。
帅到被通缉嘟午夜忧郁霸总,🌚
神经病,打卡飙升榜第13
粉太狼__,有没有人来听听我的歌
刘可心_J6jF,2024-7-2
Blisswift,主页有数字曲名大全，感兴趣可以看一下[亲亲][亲亲]求求你们了
Blisswift,主页有数字曲名大全，感兴趣可以看一下[亲亲][亲亲]求求你们了
OliverTwist_薛定谔,刚刚听了一首《时光的故事》-OliverTwist，超好听
糖恋辞霜,哈哈哈哈，毕竟你可是帅到被通缉嘀午夜忧郁霸总，谁敢跟你玩
