name,价格,链接,公司名称,公司地址,联系方式
白沙奢华滚珠精油男女适用(0.34 盎司/10 毫升),US$31.50 ,https://www.amazon.com/-/zh/sspa/click?ie=UTF8&spc=MToyOTk5Mzg3OTQ3NTYyNjQ6MTczMjc5NjUyMDpzcF9hdGY6MzAwMTc3NTM3NjY1OTAyOjowOjo&url=%2Fdp%2FB09JL6BKBW%2Fref%3Dsr_1_1_sspa%3F__mk_zh_CN%3D%25E4%25BA%259A%25E9%25A9%25AC%25E9%2580%258A%25E7%25BD%2591%25E7%25AB%2599%26crid%3D2W9URSHSWWR7E%26dib%3DeyJ2IjoiMSJ9.chUBCAb2p-lJQ2mTMEN74d5A8nFKkUnBDV2kfiBEHPDedOoxREMVU_Gi8swXO7bld59WLPGMSNQLlOrnpC8ReuCZlYTyzVBpXzSPuBPqSnw2DVuwtBmLjnK4iT7knEdcTP5pjv4jJ_sMVZR5WFmsaA.2qgcdhrczMs_YlNImsKbUUXc03FPQIoPMKQ2zzgfvpQ%26dib_tag%3Dse%26keywords%3D%25E9%25A6%2599%25E6%25B0%25B4%26qid%3D1732796520%26sprefix%3Dxiangsh%252Caps%252C306%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,Buzz Beaute,1049 Cottage Way-Encinitas-CA-92024-US,暂无联系方式
瑞士阿拉伯 Layali Rouge C 来自迪拜的奢华阿拉伯香水 C 持久阿拉伯香水 C 异域风情、水果、花卉、无酒精 EDP C 0.5 盎司,US$20.74 ,https://www.amazon.com/-/zh/dp/B07NJJZK3W/ref=sr_1_2?__mk_zh_CN=%E4%BA%9A%E9%A9%AC%E9%80%8A%E7%BD%91%E7%AB%99&crid=2W9URSHSWWR7E&dib=eyJ2IjoiMSJ9.chUBCAb2p-lJQ2mTMEN74d5A8nFKkUnBDV2kfiBEHPDedOoxREMVU_Gi8swXO7bld59WLPGMSNQLlOrnpC8ReuCZlYTyzVBpXzSPuBPqSnw2DVuwtBmLjnK4iT7knEdcTP5pjv4jJ_sMVZR5WFmsaA.2qgcdhrczMs_YlNImsKbUUXc03FPQIoPMKQ2zzgfvpQ&dib_tag=se&keywords=%E9%A6%99%E6%B0%B4&qid=1732796520&sprefix=xiangsh%2Caps%2C306&sr=8-2,flo dealz llc,3000 NW 27th AVE suite 1006-POMPANO BEACH-FL-33069-US,暂无联系方式
Marc Jacobs 完美女式 3.3 盎司(约 93.6 克)EDP 喷雾,US$104.99 ,https://www.amazon.com/-/zh/dp/B08GKZ1233/ref=sr_1_5?__mk_zh_CN=%E4%BA%9A%E9%A9%AC%E9%80%8A%E7%BD%91%E7%AB%99&crid=2W9URSHSWWR7E&dib=eyJ2IjoiMSJ9.chUBCAb2p-lJQ2mTMEN74d5A8nFKkUnBDV2kfiBEHPDedOoxREMVU_Gi8swXO7bld59WLPGMSNQLlOrnpC8ReuCZlYTyzVBpXzSPuBPqSnw2DVuwtBmLjnK4iT7knEdcTP5pjv4jJ_sMVZR5WFmsaA.2qgcdhrczMs_YlNImsKbUUXc03FPQIoPMKQ2zzgfvpQ&dib_tag=se&keywords=%E9%A6%99%E6%B0%B4&qid=1732796520&sprefix=xiangsh%2Caps%2C306&sr=8-5,Unineed Ltd,"Unineed Ltd, 33 Lynedoch Street-1-Glasgow-Glasgow (City of)-G3 6AA-GB",13823148014
Pure Instinct Roll-Original Pheromone 精油香水古龙水 - TSA 就绪(原装 - 男女皆宜),US$12.71 ,https://www.amazon.com/-/zh/dp/B00EJDG7XI/ref=sr_1_6?__mk_zh_CN=%E4%BA%9A%E9%A9%AC%E9%80%8A%E7%BD%91%E7%AB%99&crid=2W9URSHSWWR7E&dib=eyJ2IjoiMSJ9.chUBCAb2p-lJQ2mTMEN74d5A8nFKkUnBDV2kfiBEHPDedOoxREMVU_Gi8swXO7bld59WLPGMSNQLlOrnpC8ReuCZlYTyzVBpXzSPuBPqSnw2DVuwtBmLjnK4iT7knEdcTP5pjv4jJ_sMVZR5WFmsaA.2qgcdhrczMs_YlNImsKbUUXc03FPQIoPMKQ2zzgfvpQ&dib_tag=se&keywords=%E9%A6%99%E6%B0%B4&qid=1732796520&sprefix=xiangsh%2Caps%2C306&sr=8-6,"Oui Lab, Inc.",15362 VALLEY BLVD-LA PUENTE-CA-91746-3336-US,暂无联系方式
"Roll-On Pheromone 女士香水,滚珠香水,旅行香水,清洁香水,长效信息素精油 - 0.34 液体盎司(10 毫升)",US$9.75 ,https://www.amazon.com/-/zh/dp/B0D47CTPX8/ref=sr_1_7?__mk_zh_CN=%E4%BA%9A%E9%A9%AC%E9%80%8A%E7%BD%91%E7%AB%99&crid=2W9URSHSWWR7E&dib=eyJ2IjoiMSJ9.chUBCAb2p-lJQ2mTMEN74d5A8nFKkUnBDV2kfiBEHPDedOoxREMVU_Gi8swXO7bld59WLPGMSNQLlOrnpC8ReuCZlYTyzVBpXzSPuBPqSnw2DVuwtBmLjnK4iT7knEdcTP5pjv4jJ_sMVZR5WFmsaA.2qgcdhrczMs_YlNImsKbUUXc03FPQIoPMKQ2zzgfvpQ&dib_tag=se&keywords=%E9%A6%99%E6%B0%B4&qid=1732796520&sprefix=xiangsh%2Caps%2C306&sr=8-7,HUTCH INNOVATION LLC,5755 W 85TH ST-INDIANAPOLIS-IN-46278-1330-US,暂无联系方式
Christian Dior Jadore 作者 Christian Dior 女士淡香水喷雾 3.4 盎司,US$152.99 ,https://www.amazon.com/-/zh/dp/B000C1UCTQ/ref=sr_1_1?__mk_zh_CN=%E4%BA%9A%E9%A9%AC%E9%80%8A%E7%BD%91%E7%AB%99&crid=2W9URSHSWWR7E&dib=eyJ2IjoiMSJ9.LRIFaSmcHzETURWMyPr4hDPnYonCbvheQoETRC7G6Sdg1EOCYXoAm2il7OK4VPMtokqvk4cuso9Yvbb425tzAgWAEqhVnZ0eGZ3320zjBPQzbU0LIACbeoqr2X7cLDjALvcSvFbptftJFF-87E256IeCi8_OWKYAU8ErGB1Lx6ezeYzECaxBvsQqwh2pDXTq9SyLEBLqng2VEQdp4VmnbDSn-o4P6tmRMOMeepnItR0nusbR68CugPTxJED4csDOt3g6OkfBi9eFkbZCJIEsXnp1ndExlisDgC49AUhPLws.a988TXJzGrzV0PJ-TJfrgkTyPvkGHOvUysMRGNPStUQ&dib_tag=se&keywords=%E9%A6%99%E6%B0%B4&qid=1732796520&sprefix=xiangsh%2Caps%2C306&sr=8-1,Unineed Ltd,"Unineed Ltd, 33 Lynedoch Street-1-Glasgow-Glasgow (City of)-G3 6AA-GB",13823148014
Carolina Herrera Good Girl 女士腮红 - 2.7 盎司 EDP 喷雾,US$116.59 ,https://www.amazon.com/-/zh/dp/B0BZGB8SR9/ref=sr_1_2?__mk_zh_CN=%E4%BA%9A%E9%A9%AC%E9%80%8A%E7%BD%91%E7%AB%99&crid=2W9URSHSWWR7E&dib=eyJ2IjoiMSJ9.LRIFaSmcHzETURWMyPr4hDPnYonCbvheQoETRC7G6Sdg1EOCYXoAm2il7OK4VPMtokqvk4cuso9Yvbb425tzAgWAEqhVnZ0eGZ3320zjBPQzbU0LIACbeoqr2X7cLDjALvcSvFbptftJFF-87E256IeCi8_OWKYAU8ErGB1Lx6ezeYzECaxBvsQqwh2pDXTq9SyLEBLqng2VEQdp4VmnbDSn-o4P6tmRMOMeepnItR0nusbR68CugPTxJED4csDOt3g6OkfBi9eFkbZCJIEsXnp1ndExlisDgC49AUhPLws.a988TXJzGrzV0PJ-TJfrgkTyPvkGHOvUysMRGNPStUQ&dib_tag=se&keywords=%E9%A6%99%E6%B0%B4&qid=1732796520&sprefix=xiangsh%2Caps%2C306&sr=8-2,Unineed Ltd,"Unineed Ltd, 33 Lynedoch Street-1-Glasgow-Glasgow (City of)-G3 6AA-GB",13823148014
Victoria's Secret Amber Romance 套装:芳香身体喷雾和全皮肤乳液,US$29.00 ,https://www.amazon.com/-/zh/dp/B07Q58D8F6/ref=sr_1_3?__mk_zh_CN=%E4%BA%9A%E9%A9%AC%E9%80%8A%E7%BD%91%E7%AB%99&crid=2W9URSHSWWR7E&dib=eyJ2IjoiMSJ9.LRIFaSmcHzETURWMyPr4hDPnYonCbvheQoETRC7G6Sdg1EOCYXoAm2il7OK4VPMtokqvk4cuso9Yvbb425tzAgWAEqhVnZ0eGZ3320zjBPQzbU0LIACbeoqr2X7cLDjALvcSvFbptftJFF-87E256IeCi8_OWKYAU8ErGB1Lx6ezeYzECaxBvsQqwh2pDXTq9SyLEBLqng2VEQdp4VmnbDSn-o4P6tmRMOMeepnItR0nusbR68CugPTxJED4csDOt3g6OkfBi9eFkbZCJIEsXnp1ndExlisDgC49AUhPLws.a988TXJzGrzV0PJ-TJfrgkTyPvkGHOvUysMRGNPStUQ&dib_tag=se&keywords=%E9%A6%99%E6%B0%B4&qid=1732796520&sprefix=xiangsh%2Caps%2C306&sr=8-3,MIIRACLEMARKET LLC,1726 E ALMERIA RD-PHOENIX-AZ-85006-2309-US,暂无联系方式
"男士催眠香水,男士香水,清新、温暖、独特和浓郁的香气(1 件)",US$11.99 ,https://www.amazon.com/-/zh/dp/B0CY9HN2W6/ref=sr_1_4?__mk_zh_CN=%E4%BA%9A%E9%A9%AC%E9%80%8A%E7%BD%91%E7%AB%99&crid=2W9URSHSWWR7E&dib=eyJ2IjoiMSJ9.LRIFaSmcHzETURWMyPr4hDPnYonCbvheQoETRC7G6Sdg1EOCYXoAm2il7OK4VPMtokqvk4cuso9Yvbb425tzAgWAEqhVnZ0eGZ3320zjBPQzbU0LIACbeoqr2X7cLDjALvcSvFbptftJFF-87E256IeCi8_OWKYAU8ErGB1Lx6ezeYzECaxBvsQqwh2pDXTq9SyLEBLqng2VEQdp4VmnbDSn-o4P6tmRMOMeepnItR0nusbR68CugPTxJED4csDOt3g6OkfBi9eFkbZCJIEsXnp1ndExlisDgC49AUhPLws.a988TXJzGrzV0PJ-TJfrgkTyPvkGHOvUysMRGNPStUQ&dib_tag=se&keywords=%E9%A6%99%E6%B0%B4&qid=1732796520&sprefix=xiangsh%2Caps%2C306&sr=8-4,bo wei cai,普宁市大坝镇-月掘村大房12号-揭阳市-广东-515300-CN,15159710995
女士信息素香水 - 持久而令人上瘾的个人滚珠信息素香水 - 女士古龙水吸引男士(2 件装),US$8.99 ,https://www.amazon.com/-/zh/dp/B0C746QXL1/ref=sr_1_5?__mk_zh_CN=%E4%BA%9A%E9%A9%AC%E9%80%8A%E7%BD%91%E7%AB%99&crid=2W9URSHSWWR7E&dib=eyJ2IjoiMSJ9.LRIFaSmcHzETURWMyPr4hDPnYonCbvheQoETRC7G6Sdg1EOCYXoAm2il7OK4VPMtokqvk4cuso9Yvbb425tzAgWAEqhVnZ0eGZ3320zjBPQzbU0LIACbeoqr2X7cLDjALvcSvFbptftJFF-87E256IeCi8_OWKYAU8ErGB1Lx6ezeYzECaxBvsQqwh2pDXTq9SyLEBLqng2VEQdp4VmnbDSn-o4P6tmRMOMeepnItR0nusbR68CugPTxJED4csDOt3g6OkfBi9eFkbZCJIEsXnp1ndExlisDgC49AUhPLws.a988TXJzGrzV0PJ-TJfrgkTyPvkGHOvUysMRGNPStUQ&dib_tag=se&keywords=%E9%A6%99%E6%B0%B4&qid=1732796520&sprefix=xiangsh%2Caps%2C306&sr=8-5,Shenzhen SAISIJIA Network Technology Co.Ltd,"1206 room,Huayi Building,B#,yongxianglu8xiang7hao-bantianjiedaowuheshequ,Longgang District-shenzhen-guangdong-518000-CN",15920646261
Dior Miss Christian EDT 喷雾 3.4 盎司(约 96.4 克)(含),US$122.99 ,https://www.amazon.com/-/zh/dp/B07P6M7DPP/ref=sr_1_9?__mk_zh_CN=%E4%BA%9A%E9%A9%AC%E9%80%8A%E7%BD%91%E7%AB%99&crid=2W9URSHSWWR7E&dib=eyJ2IjoiMSJ9.LRIFaSmcHzETURWMyPr4hDPnYonCbvheQoETRC7G6Sdg1EOCYXoAm2il7OK4VPMtokqvk4cuso9Yvbb425tzAgWAEqhVnZ0eGZ3320zjBPQzbU0LIACbeoqr2X7cLDjALvcSvFbptftJFF-87E256IeCi8_OWKYAU8ErGB1Lx6ezeYzECaxBvsQqwh2pDXTq9SyLEBLqng2VEQdp4VmnbDSn-o4P6tmRMOMeepnItR0nusbR68CugPTxJED4csDOt3g6OkfBi9eFkbZCJIEsXnp1ndExlisDgC49AUhPLws.a988TXJzGrzV0PJ-TJfrgkTyPvkGHOvUysMRGNPStUQ&dib_tag=se&keywords=%E9%A6%99%E6%B0%B4&qid=1732796520&sprefix=xiangsh%2Caps%2C306&sr=8-9,Unineed Ltd,"Unineed Ltd, 33 Lynedoch Street-1-Glasgow-Glasgow (City of)-G3 6AA-GB",13823148014
Kuumba Made 香草豆香精油滚珠 3.7毫升 | 滚珠香水 | 不含酒精,US$9.77 ,https://www.amazon.com/-/zh/dp/B07BBW73CR/ref=sr_1_10?__mk_zh_CN=%E4%BA%9A%E9%A9%AC%E9%80%8A%E7%BD%91%E7%AB%99&crid=2W9URSHSWWR7E&dib=eyJ2IjoiMSJ9.LRIFaSmcHzETURWMyPr4hDPnYonCbvheQoETRC7G6Sdg1EOCYXoAm2il7OK4VPMtokqvk4cuso9Yvbb425tzAgWAEqhVnZ0eGZ3320zjBPQzbU0LIACbeoqr2X7cLDjALvcSvFbptftJFF-87E256IeCi8_OWKYAU8ErGB1Lx6ezeYzECaxBvsQqwh2pDXTq9SyLEBLqng2VEQdp4VmnbDSn-o4P6tmRMOMeepnItR0nusbR68CugPTxJED4csDOt3g6OkfBi9eFkbZCJIEsXnp1ndExlisDgC49AUhPLws.a988TXJzGrzV0PJ-TJfrgkTyPvkGHOvUysMRGNPStUQ&dib_tag=se&keywords=%E9%A6%99%E6%B0%B4&qid=1732796520&sprefix=xiangsh%2Caps%2C306&sr=8-10,Thriving Enterprises,"8 The Green, Ste B-Dover-DE-19901-US",
"City Walk Perfume Oil/Fragrance Oil, 0.34 fl oz (10 ml), Soft/Powdery/Sweet",US$48.00 ,https://www.amazon.com/-/zh/sspa/click?ie=UTF8&spc=MToyOTk5Mzg3OTQ3NTYyNjQ6MTczMjc5NjUyMDpzcF9tdGY6MzAwNDIyMDk1NTc1OTAyOjowOjo&url=%2Fdp%2FB0D9J7D4DK%2Fref%3Dsr_1_11_sspa%3F__mk_zh_CN%3D%25E4%25BA%259A%25E9%25A9%25AC%25E9%2580%258A%25E7%25BD%2591%25E7%25AB%2599%26crid%3D2W9URSHSWWR7E%26dib%3DeyJ2IjoiMSJ9.LRIFaSmcHzETURWMyPr4hDPnYonCbvheQoETRC7G6Sdg1EOCYXoAm2il7OK4VPMtokqvk4cuso9Yvbb425tzAgWAEqhVnZ0eGZ3320zjBPQzbU0LIACbeoqr2X7cLDjALvcSvFbptftJFF-87E256IeCi8_OWKYAU8ErGB1Lx6ezeYzECaxBvsQqwh2pDXTq9SyLEBLqng2VEQdp4VmnbDSn-o4P6tmRMOMeepnItR0nusbR68CugPTxJED4csDOt3g6OkfBi9eFkbZCJIEsXnp1ndExlisDgC49AUhPLws.a988TXJzGrzV0PJ-TJfrgkTyPvkGHOvUysMRGNPStUQ%26dib_tag%3Dse%26keywords%3D%25E9%25A6%2599%25E6%25B0%25B4%26qid%3D1732796520%26sprefix%3Dxiangsh%252Caps%252C306%26sr%3D8-11-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,Cera Sine Cera,"121 E 22nd st, N1101-N1101-NEW YORK-NY-10010-US",暂无联系方式
"毒液信息素香水系列,英雄香水,女士香水,Verola 女士香水,专为女性设计,便携式香水持久女性",US$15.99 ,https://www.amazon.com/-/zh/dp/B0DJ2N52L5/ref=sr_1_17?__mk_zh_CN=%E4%BA%9A%E9%A9%AC%E9%80%8A%E7%BD%91%E7%AB%99&crid=2W9URSHSWWR7E&dib=eyJ2IjoiMSJ9.LRIFaSmcHzETURWMyPr4hDPnYonCbvheQoETRC7G6Sdg1EOCYXoAm2il7OK4VPMtokqvk4cuso9Yvbb425tzAgWAEqhVnZ0eGZ3320zjBPQzbU0LIACbeoqr2X7cLDjALvcSvFbptftJFF-87E256IeCi8_OWKYAU8ErGB1Lx6ezeYzECaxBvsQqwh2pDXTq9SyLEBLqng2VEQdp4VmnbDSn-o4P6tmRMOMeepnItR0nusbR68CugPTxJED4csDOt3g6OkfBi9eFkbZCJIEsXnp1ndExlisDgC49AUhPLws.a988TXJzGrzV0PJ-TJfrgkTyPvkGHOvUysMRGNPStUQ&dib_tag=se&keywords=%E9%A6%99%E6%B0%B4&qid=1732796520&sprefix=xiangsh%2Caps%2C306&sr=8-17,huazhoushi tianmeiyu dianzi shangwu youxian gongsi,335号龙景科技园-63号首层1011室-深圳市-龙岗区坂田街道布龙路-广东省-518129-CN,
JAFRA Tender Moments 清新婴儿古龙水,US$17.95 ,https://www.amazon.com/-/zh/dp/B09QHK78SL/ref=sr_1_18?__mk_zh_CN=%E4%BA%9A%E9%A9%AC%E9%80%8A%E7%BD%91%E7%AB%99&crid=2W9URSHSWWR7E&dib=eyJ2IjoiMSJ9.LRIFaSmcHzETURWMyPr4hDPnYonCbvheQoETRC7G6Sdg1EOCYXoAm2il7OK4VPMtokqvk4cuso9Yvbb425tzAgWAEqhVnZ0eGZ3320zjBPQzbU0LIACbeoqr2X7cLDjALvcSvFbptftJFF-87E256IeCi8_OWKYAU8ErGB1Lx6ezeYzECaxBvsQqwh2pDXTq9SyLEBLqng2VEQdp4VmnbDSn-o4P6tmRMOMeepnItR0nusbR68CugPTxJED4csDOt3g6OkfBi9eFkbZCJIEsXnp1ndExlisDgC49AUhPLws.a988TXJzGrzV0PJ-TJfrgkTyPvkGHOvUysMRGNPStUQ&dib_tag=se&keywords=%E9%A6%99%E6%B0%B4&qid=1732796520&sprefix=xiangsh%2Caps%2C306&sr=8-18,"YOLY'S GENERAL MERCHANDISE,CORP.",21925 SW 104TH CT-#208-Miami-FL-33190-1094-US,暂无联系方式
"Gucci Bloom 女士香水喷雾, 1.6盎司",US$69.49 ,https://www.amazon.com/-/zh/dp/B074W8WQ3J/ref=sr_1_24?__mk_zh_CN=%E4%BA%9A%E9%A9%AC%E9%80%8A%E7%BD%91%E7%AB%99&crid=2W9URSHSWWR7E&dib=eyJ2IjoiMSJ9.LRIFaSmcHzETURWMyPr4hDPnYonCbvheQoETRC7G6Sdg1EOCYXoAm2il7OK4VPMtokqvk4cuso9Yvbb425tzAgWAEqhVnZ0eGZ3320zjBPQzbU0LIACbeoqr2X7cLDjALvcSvFbptftJFF-87E256IeCi8_OWKYAU8ErGB1Lx6ezeYzECaxBvsQqwh2pDXTq9SyLEBLqng2VEQdp4VmnbDSn-o4P6tmRMOMeepnItR0nusbR68CugPTxJED4csDOt3g6OkfBi9eFkbZCJIEsXnp1ndExlisDgC49AUhPLws.a988TXJzGrzV0PJ-TJfrgkTyPvkGHOvUysMRGNPStUQ&dib_tag=se&keywords=%E9%A6%99%E6%B0%B4&qid=1732796520&sprefix=xiangsh%2Caps%2C306&sr=8-24,Unineed Ltd,"Unineed Ltd, 33 Lynedoch Street-1-Glasgow-Glasgow (City of)-G3 6AA-GB",13823148014
"Jo Malone Lime 罗勒柑橘,Jo Malone 出品 中性款 - 3.4 盎司古龙水喷雾(包装可能有所不同)",US$125.86 ,https://www.amazon.com/-/zh/dp/B002SPYW72/ref=sr_1_25?__mk_zh_CN=%E4%BA%9A%E9%A9%AC%E9%80%8A%E7%BD%91%E7%AB%99&crid=2W9URSHSWWR7E&dib=eyJ2IjoiMSJ9.LRIFaSmcHzETURWMyPr4hDPnYonCbvheQoETRC7G6Sdg1EOCYXoAm2il7OK4VPMtokqvk4cuso9Yvbb425tzAgWAEqhVnZ0eGZ3320zjBPQzbU0LIACbeoqr2X7cLDjALvcSvFbptftJFF-87E256IeCi8_OWKYAU8ErGB1Lx6ezeYzECaxBvsQqwh2pDXTq9SyLEBLqng2VEQdp4VmnbDSn-o4P6tmRMOMeepnItR0nusbR68CugPTxJED4csDOt3g6OkfBi9eFkbZCJIEsXnp1ndExlisDgC49AUhPLws.a988TXJzGrzV0PJ-TJfrgkTyPvkGHOvUysMRGNPStUQ&dib_tag=se&keywords=%E9%A6%99%E6%B0%B4&qid=1732796520&sprefix=xiangsh%2Caps%2C306&sr=8-25,"Hair Care & Beyond, Inc.",4 Trumper Rd-spring Valley-NY-10977-US,18911141334
"Yves Saint Laurent 女士黑色鸦片香水喷雾,1 盎司",US$67.99 ,https://www.amazon.com/-/zh/dp/B07CPL4WZV/ref=sr_1_29?__mk_zh_CN=%E4%BA%9A%E9%A9%AC%E9%80%8A%E7%BD%91%E7%AB%99&crid=2W9URSHSWWR7E&dib=eyJ2IjoiMSJ9.LRIFaSmcHzETURWMyPr4hDPnYonCbvheQoETRC7G6Sdg1EOCYXoAm2il7OK4VPMtokqvk4cuso9Yvbb425tzAgWAEqhVnZ0eGZ3320zjBPQzbU0LIACbeoqr2X7cLDjALvcSvFbptftJFF-87E256IeCi8_OWKYAU8ErGB1Lx6ezeYzECaxBvsQqwh2pDXTq9SyLEBLqng2VEQdp4VmnbDSn-o4P6tmRMOMeepnItR0nusbR68CugPTxJED4csDOt3g6OkfBi9eFkbZCJIEsXnp1ndExlisDgC49AUhPLws.a988TXJzGrzV0PJ-TJfrgkTyPvkGHOvUysMRGNPStUQ&dib_tag=se&keywords=%E9%A6%99%E6%B0%B4&qid=1732796520&sprefix=xiangsh%2Caps%2C306&sr=8-29,Unineed Ltd,"Unineed Ltd, 33 Lynedoch Street-1-Glasgow-Glasgow (City of)-G3 6AA-GB",13823148014
Paco Rabanne 100 万/Paco Rabanne EDT 喷雾 93.6 克(米),US$79.99 ,https://www.amazon.com/-/zh/dp/B01F2LA68W/ref=sr_1_31?__mk_zh_CN=%E4%BA%9A%E9%A9%AC%E9%80%8A%E7%BD%91%E7%AB%99&crid=2W9URSHSWWR7E&dib=eyJ2IjoiMSJ9.LRIFaSmcHzETURWMyPr4hDPnYonCbvheQoETRC7G6Sdg1EOCYXoAm2il7OK4VPMtokqvk4cuso9Yvbb425tzAgWAEqhVnZ0eGZ3320zjBPQzbU0LIACbeoqr2X7cLDjALvcSvFbptftJFF-87E256IeCi8_OWKYAU8ErGB1Lx6ezeYzECaxBvsQqwh2pDXTq9SyLEBLqng2VEQdp4VmnbDSn-o4P6tmRMOMeepnItR0nusbR68CugPTxJED4csDOt3g6OkfBi9eFkbZCJIEsXnp1ndExlisDgC49AUhPLws.a988TXJzGrzV0PJ-TJfrgkTyPvkGHOvUysMRGNPStUQ&dib_tag=se&keywords=%E9%A6%99%E6%B0%B4&qid=1732796520&sprefix=xiangsh%2Caps%2C306&sr=8-31,Beauty Store LLC,2010 Cobb International Blvd Suite D-KENNESAW-GA-30152-US,
MOBETTER FRAGRANCE OILS 粉末清新香味香水身体油中性,US$12.99 ,https://www.amazon.com/-/zh/dp/B08CTHMX5C/ref=sr_1_33?__mk_zh_CN=%E4%BA%9A%E9%A9%AC%E9%80%8A%E7%BD%91%E7%AB%99&crid=2W9URSHSWWR7E&dib=eyJ2IjoiMSJ9.LRIFaSmcHzETURWMyPr4hDPnYonCbvheQoETRC7G6Sdg1EOCYXoAm2il7OK4VPMtokqvk4cuso9Yvbb425tzAgWAEqhVnZ0eGZ3320zjBPQzbU0LIACbeoqr2X7cLDjALvcSvFbptftJFF-87E256IeCi8_OWKYAU8ErGB1Lx6ezeYzECaxBvsQqwh2pDXTq9SyLEBLqng2VEQdp4VmnbDSn-o4P6tmRMOMeepnItR0nusbR68CugPTxJED4csDOt3g6OkfBi9eFkbZCJIEsXnp1ndExlisDgC49AUhPLws.a988TXJzGrzV0PJ-TJfrgkTyPvkGHOvUysMRGNPStUQ&dib_tag=se&keywords=%E9%A6%99%E6%B0%B4&qid=1732796520&sprefix=xiangsh%2Caps%2C306&sr=8-33,MOBETTER DEALS LLC,516 SOSEBEE FARM ROAD-SUITE 84-GRAYSON-GEORGIA-30017-US,13466685617
"Carolina Herrera Good Girl 女士香水,3 件滚珠迷你礼品套装",US$69.95 ,https://www.amazon.com/-/zh/dp/B0C4VBG22J/ref=sr_1_34?__mk_zh_CN=%E4%BA%9A%E9%A9%AC%E9%80%8A%E7%BD%91%E7%AB%99&crid=2W9URSHSWWR7E&dib=eyJ2IjoiMSJ9.LRIFaSmcHzETURWMyPr4hDPnYonCbvheQoETRC7G6Sdg1EOCYXoAm2il7OK4VPMtokqvk4cuso9Yvbb425tzAgWAEqhVnZ0eGZ3320zjBPQzbU0LIACbeoqr2X7cLDjALvcSvFbptftJFF-87E256IeCi8_OWKYAU8ErGB1Lx6ezeYzECaxBvsQqwh2pDXTq9SyLEBLqng2VEQdp4VmnbDSn-o4P6tmRMOMeepnItR0nusbR68CugPTxJED4csDOt3g6OkfBi9eFkbZCJIEsXnp1ndExlisDgC49AUhPLws.a988TXJzGrzV0PJ-TJfrgkTyPvkGHOvUysMRGNPStUQ&dib_tag=se&keywords=%E9%A6%99%E6%B0%B4&qid=1732796520&sprefix=xiangsh%2Caps%2C306&sr=8-34,Electrolase LLC,543 Bedford Avenue Suite 159-Brooklyn-NY-11211-US,暂无联系方式
"Venom 信息素香水系列,英雄香水,女士香水,Verola 女士香水,专为女性设计,便携式香水持久女性。",US$13.99 ,https://www.amazon.com/-/zh/dp/B0D1CJBN13/ref=sr_1_35?__mk_zh_CN=%E4%BA%9A%E9%A9%AC%E9%80%8A%E7%BD%91%E7%AB%99&crid=2W9URSHSWWR7E&dib=eyJ2IjoiMSJ9.LRIFaSmcHzETURWMyPr4hDPnYonCbvheQoETRC7G6Sdg1EOCYXoAm2il7OK4VPMtokqvk4cuso9Yvbb425tzAgWAEqhVnZ0eGZ3320zjBPQzbU0LIACbeoqr2X7cLDjALvcSvFbptftJFF-87E256IeCi8_OWKYAU8ErGB1Lx6ezeYzECaxBvsQqwh2pDXTq9SyLEBLqng2VEQdp4VmnbDSn-o4P6tmRMOMeepnItR0nusbR68CugPTxJED4csDOt3g6OkfBi9eFkbZCJIEsXnp1ndExlisDgC49AUhPLws.a988TXJzGrzV0PJ-TJfrgkTyPvkGHOvUysMRGNPStUQ&dib_tag=se&keywords=%E9%A6%99%E6%B0%B4&qid=1732796520&sprefix=xiangsh%2Caps%2C306&sr=8-35,Lianjiangshi Anpu Jutu Shuichan Yangzhichang,安铺镇茂桂路村委会茂上村-戚海途的土地及其建筑物-廉江市-广东省-524444-CN,暂无联系方式
"Christian Dior 女士淡香水喷雾,上瘾,3.4 盎司",US$147.99 ,https://www.amazon.com/-/zh/dp/B001AXWNGU/ref=sr_1_38?__mk_zh_CN=%E4%BA%9A%E9%A9%AC%E9%80%8A%E7%BD%91%E7%AB%99&crid=2W9URSHSWWR7E&dib=eyJ2IjoiMSJ9.LRIFaSmcHzETURWMyPr4hDPnYonCbvheQoETRC7G6Sdg1EOCYXoAm2il7OK4VPMtokqvk4cuso9Yvbb425tzAgWAEqhVnZ0eGZ3320zjBPQzbU0LIACbeoqr2X7cLDjALvcSvFbptftJFF-87E256IeCi8_OWKYAU8ErGB1Lx6ezeYzECaxBvsQqwh2pDXTq9SyLEBLqng2VEQdp4VmnbDSn-o4P6tmRMOMeepnItR0nusbR68CugPTxJED4csDOt3g6OkfBi9eFkbZCJIEsXnp1ndExlisDgC49AUhPLws.a988TXJzGrzV0PJ-TJfrgkTyPvkGHOvUysMRGNPStUQ&dib_tag=se&keywords=%E9%A6%99%E6%B0%B4&qid=1732796520&sprefix=xiangsh%2Caps%2C306&sr=8-38,Unineed Ltd,"Unineed Ltd, 33 Lynedoch Street-1-Glasgow-Glasgow (City of)-G3 6AA-GB",13823148014
